Katsesõna;Mudel;Definitsioon;Hinnang;Kommentaar
peoloom;Gmeini 2.0 Flash;inimene, kes naudib väga pidudel käimist ja on seal alati aktiivne ning lõbus;3;
peoloom;GPT-4.1;inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda;3;
pesakond;EuroLLM-9b-instruct;"Rühm loomi, kes on sündinud samast emasloomast või kuuluvad sama rühma. Näiteks ""koerasportlase pesakond"" viitab kutsikatele, kelle sünnitas koer ja kes on mõeldud kasvatamiseks ning kasutamiseks teatud spordialadel.";2;
pesakond;Llama-4-Maverick-17B-128E-Instruct;ühe ema või vanema poolt ühel ajal sünnitatud või koorunud järglased, poegade või järglaste kogu, peres elavad lapsed;3;
pesakond;Gemini 1.5 Pro;ÜSi definitsioon - üheaegselt, tavaliselt ühest loomast sündinud poegade rühm;3;
pesakond;o3;ühe ja sama emase korraga sündinud või koorunud järglaste kogum;4;
suitsetama;Claude 3.5 Sonnet;tubakat või muud suitsetatavat ainet põletades selle suitsu sisse hingama ja välja puhuma;4;
suitsetama;Claude 3 Opus;tubakasaadusi (nt sigarette, sigareid) põletades suitsu sisse hingama ja välja puhuma;3;
suitsetama;Gmeini 2.0 Flash;põletatavaid (tubaka)tooteid (sigaretti, piipu jne) sisse hingama, et omandada nikotiinist või muudest ainetest tekitatud mõnu;3;
suitsetama;GPT-4o;tubakat või muid suitsetatavaid aineid sigareti, sigari, piibu vm kaudu sisse hingama ja välja puhuma;4;
sugupuu;EuroLLM-9b-instruct;Sugupuust saab lugeda inimese või looma esivanemate kohta. See näitab, kuidas inimesed on seotud omavahel ning oma vanemate ja vanavanematega. Näiteks võib sugupuu sisaldada teavet inimeste sünni- ja surmadaatumite, nende elukohtade ja ametite kohta.;1;
sugupuu;Llama-4-Maverick-17B-128E-Instruct;perekonna liikmete põlvnemist ja nendevahelisi sugulussuhteid näitlikult kujutav skeem või tabel;4;
sugupuu;Claude 3.7 Sonnet;skemaatiline joonis või kirjalik ülevaade, mis kujutab perekonna või suguvõsa liikmete omavahelisi sugulussuhteid mitme põlvkonna lõikes;3;
sugupuu;Gmeini 2.0 Flash;perekonna põlvnemise skeem, esivanemate ja järeltulijate järjestikune loetelu;4;
sugupuu;GPT-4.1;ühe isiku või suguvõsa esivanemaid ja järeltulijaid põlvkondade kaupa näitav skeem või loetelu;4;
sugupuu;o3;põlvkondade kaupa järjestatud ülevaade inimese või perekonna esivanematest ja järeltulijatest, sageli graafilise skeemi või loeteluna kujutatud põlvnevusjärjestus;3;
kategooriline;Gemini 2.5 Pro Preview;tingimusteta, kindel;3;
kategooriline;GPT-4.1;ilma kahtluse või kõhkluseta, tingimusteta ja kindlalt väitev või otsustav;4;
kategooriline;o3;igasugust kõhklust või erandit välistavalt kindel ja lõplik, tingimusteta (nt eituse, otsuse või väite puhul);3;
personal;EuroLLM-9b-instruct;Personal viitab töötajatele ettevõttes, asutuses või organisatsioonis. See hõlmab kõiki töötajaid, alates juhtidest kuni tavatöötajateni, kes on osa organisatsiooni struktuurist ja aitavad kaasa selle toimimisele.;1;
personal;Claude 3 Opus;isiklik, isikuga seotud, isikule kuuluv või teda puudutav;1;
personal;GPT-4.1;ühes asutuses, ettevõttes vm töötavad inimesed tervikuna;4;
personal;o4-mini;konkreetse asutuse, ettevõtte või organisatsiooni töötajatest koosnev kogu;4;
perspektiivitu;Llama-4-Maverick-17B-128E-Instruct;tulevikuväljavaateid mitteomav, lootusetu, edutuna näiv;4;
perspektiivitu;Claude 3.5 Sonnet;tulevikuvõimalusi, edasimineku- või arenemisvõimalusi mittepakkuv, lootusetu;4;
perspektiivitu;Claude 3 Opus;tulevikuväljavaateid mittepakkuv, edasiminekuvõimalusteta, lootusetu;4;
pesto;Llama-4-Maverick-17B-128E-Instruct;basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist valmistatud püree või pasta Itaalia päritolu kaste toitude maitsestamiseks;3;
pesto;Claude 3.5 Sonnet;basiilikust, küüslaugust, oliiviõlist, parmesani juustust ja männiseemnetest valmistatud pastataoline kaste või määre;3;
pesto;Claude 3.7 Sonnet;basiilikust, küüslaugust, parmesanist, männiseemnetest ja oliiviõlist valmistatud pastataoline kaste, mida kasutatakse pastaroogade maitsestamiseks või leivakattena;2;
pesto;Claude 3 Opus;Itaalia päritolu rohelist värvi kaste, mille põhikoostisosad on basiilik, oliiviõli, küüslauk, parmesani juust ja seedermänniseemned;3;
pesto;Gmeini 2.0 Flash;itaaliapärane basiilikust, küüslaugust, seedermänniseemnetest, Parmesani juustust ja oliiviõlist valmistatud roheline kaste, mida kasutatakse peamiselt pasta, aga ka teiste toitude maitsestamiseks;2;
pesto;Gemini 2.5 Pro Preview;peamiselt basiilikust, pähklitest v seemnetest, küüslaugust, juustust ja õlist valmistatud paks (hrl roheline) kaste v maitselisand;3;
pesto;o3;Itaaliast pärit paks toorelt kokku hõõrutud basiiliku, küüslaugu, pähklite, oliiviõli ja kõva juustu baasil valmistatud maitse- ehk ürdikaste;2;
summaarne;Llama-4-Maverick-17B-128E-Instruct;kõiki osi, hulka või kogust kokku haarav, kokkuvõtlik, üldine;3;
summaarne;GPT-4.1;kokkuvõtlik, kõiki osi või andmeid hõlmav ja üldistav;3;
summaarne;o3;üksikasju eritlemata tervikuna, kogusummana arvestatav või esitatav;4;
transport;EuroLLM-9b-instruct;Transport viitab inimeste või kaupade vedamisele ühest kohast teise. See hõlmab mitmesuguseid transpordiliike, nagu autotransport, rongitransport, õhutransport, veetransport ja muud. Transporti kasutatakse tavaliselt selleks, et inimesed saaksid liikuda ühest punktist teise või et kaubad jõuaksid sihtkohta.;1;
transport;Gemini 1.5 Pro;ÜSi definitsioon - inimeste, kaupade või muu sellise ühest kohast teise viimine või toimetamine.;2;
transport;Gmeini 2.0 Flash;inimeste või kaupade toimetamine ühest kohast teise, veondus;3;
transport;Gemini 2.5 Pro Preview;kaupade või reisijate edasitoimetamine ühest kohast teise;3;
transport;o3;inimeste, kaupade või muude esemete vedamine ühest kohast teise, samuti sellega seotud korraldus ja teenindus;3;
transs;Claude 3.7 Sonnet;"teadvuse muutunud seisund, milles inimene on eraldunud tavapärasest reaalsustajust, olles sügavalt keskendunud või mõjutatud välisest stiimulust (nt muusikast, rütmist, meditatsioonist); ka selline seisund, mille tekitab šamaan või meedium üleloomulike jõududega suhtlemiseks";2;
transs;Gmeini 2.0 Flash;"teadvuse muundunud seisund, kus välismaailmaga kontakt on nõrgenenud ja keskendutakse sisemistele aistingutele, mõtetele vms; ekstaasitaoline seisund";2;
transs;Gemini 2.5 Pro Preview;eriline teadvusseisund, milles reaktsioon välisärritustele on nõrgenenud või puudub;2;
akne;Llama-4-Maverick-17B-128E-Instruct;tavaliselt puberteedieas nahka, harvemini teisi elundeid haarav krooniline põletikuline nahahaigus, mis väljendub komedone (mustpeade), punetavate sõlmekeste, mädakoldeid sisaldavate põletikunärude ja armide tekkes;2;
akne;Gemini 1.5 Pro;nahal, eriti näol, seljal ja rinnal esinev põletikuline haigus, mille korral ummistuvad rasunäärmed ja tekivad vistrikud.;2;
akne;Gmeini 2.0 Flash;peamiselt näo, selja ja rinna nahal esinevad põletikulised vistrikud ja punnid;3;
akne;Gemini 2.5 Pro Preview;vistrikke tekitav rasunäärmete põletikuline nahahaigus;3;
aktiivsüsi;GPT-4.1;poorne ja väga suure pindalaga süsi, mida kasutatakse peamiselt ainete, eriti gaaside ja vedelike puhastamiseks ning filtreerimiseks;3;
aktiivsüsi;o4-mini;"kõrgel temperatuuril töötlemise teel saadav mikropoorne süsinikmaterjal, mille suured pindalad võimaldavad gaasidest ja vedelikest saasteaineid neelata; kasutatakse filtrimaterjalina ja puhastusainena";2;
aktiivsüsi;o3;kõrge poorsuse ja väga suure adsorbeerimisvõimega, spetsiaalselt töödeldud süsi, mida kasutatakse gaaside ja vedelike puhastamiseks ning mürkainete sidumiseks;2;
aktsent;EuroLLM-9b-instruct;Aktsent on helivärv, mida inimene kasutab teatud keele rääkimiseks või hääldamisel konkreetses piirkonnas. See sisaldab kõiki individuaalseid helisid ja rütme, mis eristavad kõnelejat teistest. Aktsent võib olla iseloomulik teatud piirkonnale, rahvale või rahvusele. Näiteks on ameerika inglise aktsent erinev briti inglise aktsendist. Samuti võivad inimesed rääkida oma kodumaal omapärase aktsendiga, kuid võõrastes piirkondades võivad nad omandada uue aktsendi.;1;
aktsent;Llama-4-Maverick-17B-128E-Instruct;"sõna või lause heli eriliselt rõhutatud või tugevalt esiletõstetav hääldamine; rõhk; teatud murdele või võõrkeele häälduskujule iseloomulik hääldusviis või selle avaldumine kõnes";2;
aktsent;Claude 3.7 Sonnet;"kõnes avalduvad häälduslikud iseärasused, mis on tingitud kõneleja emakeelest või murdest; rõhk, rõhuasetus";3;
aktsent;GPT-4.1;Määramata definitsioon;1;
aktsent;o4-mini;sõna või fraasi silp, mille hääldamisel on teistega võrreldes tugevam rõhk, või kõneleja murde- või võõrkeelset päritolu paljastav hääldusomadus;2;
debatt;EuroLLM-9b-instruct;Debatt on avalik arutelu või vaidlus, mille eesmärk on kaaluda erinevaid seisukohti ja argumente mõne küsimuse või probleemi kohta. Osalejad võivad esitada oma arvamusi ja väiteid ning neid kaitsta, kasutades fakte, statistikat, näiteid ja muid tõendeid. Debatit juhib tavaliselt moderaator, kes korraldab arutelu ja tagab selle reeglitele vastavuse. Debatt võib toimuda kas kirjalikult või suuliselt, näiteks ülekandena või otseülekandena. Debati eesmärk on tavaliselt saavutada üksmeel või otsus, kuid see võib olla ka meelelahutuslik eesmärk.;1;
debatt;Claude 3 Opus;avalik vaidlus, milles osalejad esitavad mingis küsimuses oma seisukohti ja argumente ning püüavad üksteist ümber veenda;3;
debatt;GPT-4o;avalik arutelu või vaidlus, kus osalejad esitavad ja kaitsevad oma seisukohti teatud teemal, eesmärgiga jõuda selgusele või veenda teisi oma vaatenurgas;3;
debatt;GPT-4.1;avalik arutelu mingi küsimuse või probleemi üle, kus eri seisukohtade esindajad esitavad oma argumente ja vastuväiteid;3;
debatt;o4-mini;kahe või enama osapoole vahel toimuv argumenteeritud arutelu, kus vahetatakse ja põhjendatakse erinevaid seisukohti;3;
deegu;Gmeini 2.0 Flash;Lõuna-Ameerikast pärit väike näriline (Octodon degus), keda peetakse ka lemmikloomana;3;
deegu;Gemini 2.5 Pro Preview;väike Tšiili päritolu näriline, keda sageli peetakse lemmikloomana;4;
deegu;o4-mini;poolvedel või pastataoline jahu- ja vedelikusegu, mida sõtkutakse ja vormitakse taignana erinevate pagari- ja kondiitritoodete valmistamiseks;1;
defekt;Claude 3.5 Sonnet;puudus, viga või rike eseme, seadme või organismi normaalses seisundis või toimimises;3;
defekt;Gemini 1.5 Pro;vigane koht, viga, puudus, rike;3;
defekt;Gmeini 2.0 Flash;mingi puudus, viga või rike, mis teeb midagi ebatäiuslikuks või töökorrast välja viib;3;
defekt;GPT-4o;puudus või viga, mis rikub terviklikkust, funktsionaalsust või välimust;4;
defekt;o4-mini;eseme, seadme või muu objekti terviklikkuses või toimimises esinev viga või rike;4;
defekt;o3;ettenähtud või normaalsetest omadustest kõrvalekalduv puudus, viga või kahjustus, mis vähendab eseme, organismi, seadme vms terviklikkust, välimust või toimimist;3;
filosofeerima;EuroLLM-9b-instruct;Filosofeerima on tegevus, mille käigus inimesed arutavad erinevaid filosoofilisi teemasid, nagu näiteks elu mõte, inimloomuse olemus, teadmiste päritolu ja tähendus. See võib hõlmata mitmesuguseid küsimusi ja probleeme, mis puudutavad maailma ja inimese kohta selles maailmas. Filosofeerimine võib toimuda kas suuliselt või kirjalikult, näiteks kirjade vahetuses, foorumites või muudes suhtluskeskkondades. Filosofeerimist peetakse sageli meeldivaks ja huvitavaks tegevuseks, mis aitab inimestel paremini mõista ennast ja maailma enda ümber. See võib samuti aidata arendada kriitilist mõtlemist, analüüsivõimet ja loovust.;1;
filosofeerima;Gemini 1.5 Pro;eluliste küsimuste, näiteks maailma olemuse, teadmiste, väärtuste, mõtlemise jms üle sügavuti ja üldistavalt mõtisklema, arutlema;3;
huligaan;EuroLLM-9b-instruct;Huligaan on isik, kes teeb ebaseaduslikke või ebasoovitavaid asju, näiteks murrab seadusi, tekitab konflikte teiste inimestega või kahjustab vara. See võib hõlmata mitmesuguseid tegevusi, nagu näiteks vandalism, vargus, vägivald või muu kuritegelik käitumine. Huligaanid võivad olla nii üksikisikud kui ka rühmitused, kes tegutsevad koos eesmärgiga kahjustada teisi inimesi või ühiskonda. Hulklemist peetakse tavaliselt negatiivseks ja ebaseaduslikuks tegevuseks, mis võib põhjustada tõsiseid tagajärgi nii huligaanile endale kui ka teistele inimestele. Huligaanid võivad olla ka ohtlikud, kuna nad võivad kasutada vägivalda või muid ebaseaduslikke meetodeid oma eesmärkide saavutamiseks.;1;
huligaan;Claude 3.7 Sonnet;avalikus kohas teisi häiriv, ühiskondlikke norme eirav ja korda rikkuv isik, kes käitub jõhkralt, agressiivselt või lugupidamatult;3;
huligaan;Gmeini 2.0 Flash;avalikku korda jämedalt rikkuv, teisi inimesi ähvardav ja kahjustav isik;4;
kasutajaskond;Llama-4-Maverick-17B-128E-Instruct;kindla teenuse, toote või vahendi kasutajate kogumik või ringkond;2;
kasutajaskond;Claude 3.5 Sonnet;mingi toote, teenuse, süsteemi või keskkonna tarbijate või rakendajate kogum;3;
kasutajaskond;Gemini 1.5 Pro;mingi teenuse, toote või süsteemi kasutajate kogum;4;
kasutajaskond;Gemini 2.5 Pro Preview;mingi toote, teenuse, süsteemi vm kõigi kasutajate kogum, hulk;4;
kasutajaskond;o3;ühte ja sedasama toodet, teenust, süsteemi vms kasutavate inimeste kogum;4;
peoloom;Claude 3.7 Sonnet;inimene, kes armastab pidutseda, on seltskonnas aktiivne, lõbus ja energiline, sageli pidude keskpunkt;3;
peoloom;Claude 3 Opus;pidutsemist, lõbutsemist ja alkoholi tarbimist liialduseni viiv isik;2;
peoloom;Gemini 1.5 Pro;Seltskondlik ja lõbus inimene, kes naudib pidusid ja oskab luua head meeleolu.;2;
peoloom;Gemini 2.5 Pro Preview;Innukas ja sage pidutseja.;3;
peoloom;GPT-4o;inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda, pidutsemist nautiv isik;3;
peoloom;GPT-4.1;inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda;3;
pesakond;Llama-4-Maverick-17B-128E-Instruct;ühe ema või vanema poolt ühel ajal sünnitatud või koorunud järglased, poegade või järglaste kogu, peres elavad lapsed;2;
pesakond;Claude 3.5 Sonnet;"ühest pesakonnast sündinud või koorunud järglased; samasse pessa kuuluvad linnupojad, loomapojad vm järglased";3;
pesakond;Claude 3.7 Sonnet;"ühest pesakonnast pärit loomade, lindude või putukate järglaste kogum; ka lasterohke pere kohta";3;
pesakond;Claude 3 Opus;ühel sigimisperioodil sündinud (linnu)poegade rühm;3;
pesakond;o4-mini;samal ajal koorunud või sündinud lindude või loomade poegade rühm;3;
suitsetama;Llama-4-Maverick-17B-128E-Instruct;tubakat või muud suitsetamiseks mõeldud ainet põletades sisse hingama;4;
suitsetama;Gmeini 2.0 Flash;põletatavaid (tubaka)tooteid (sigaretti, piipu jne) sisse hingama, et omandada nikotiinist või muudest ainetest tekitatud mõnu;3;
suitsetama;Gemini 2.5 Pro Preview;põlevast ainest (hrl tubakast) suitsu suhu ja kopsudesse tõmbama;3;
kategooriline;Llama-4-Maverick-17B-128E-Instruct;vaieldamatut, absoluutset või üldkehtivat väidet, seisukohta või otsust väljendav või kujutav;3;
kategooriline;Claude 3.5 Sonnet;kindel, otsustav, tingimusteta ja vastuväiteid mittesalliv, kompromissitu;3;
kategooriline;Gemini 1.5 Pro;täiesti kindel, tingimusteta, kahtlust mitte võimaldav;3;
kategooriline;Gmeini 2.0 Flash;"tingimusteta, mööndusteta, kindel, otsustav; jäik";3;
kategooriline;Gemini 2.5 Pro Preview;tingimusteta, kindel;2;
personal;Claude 3.7 Sonnet;"asutuse, ettevõtte vm organisatsiooni töötajaskond, ametnikud või teenistujad; isiklik, üksikisikut puudutav või temale kuuluv";2;esimene pool enne semikat sobib, teine on ju puhas ingliskeelse sõna tõlge
personal;Gemini 2.5 Pro Preview;asutuse, ettevõtte vms töötajaskond v. teenistujad;3;
personal;GPT-4o;töötajaskond, mingi asutuse, ettevõtte vms teenistuses olevad inimesed, kes täidavad teatud ülesandeid ja kohustusi;3;
personal;o4-mini;konkreetse asutuse, ettevõtte või organisatsiooni töötajatest koosnev kogu;3;
perspektiivitu;EuroLLM-9b-instruct;Perspektiivitu tähendab midagi, mis ei näe tulevikus head tulemust või edu. See võib viidata tegevusele, projektile või olukorrale, mis tõenäoliselt ei too oodatavat kasu või positiivseid tulemusi. Näiteks võib öelda, et mõni äriprojekt on perspektiivitu, kui sellel pole piisavalt tugevaid eeldusi edukaks toimimiseks.;2;
perspektiivitu;Claude 3.7 Sonnet;tulevikuväljavaateta, edasise arengu või edu võimaluseta, lootusetu;4;
perspektiivitu;Claude 3 Opus;tulevikuväljavaateid mittepakkuv, edasiminekuvõimalusteta, lootusetu;4;
perspektiivitu;Gmeini 2.0 Flash;"tulevikuväljavaadeteta, lootusetu; arengu- või edenemisvõimaluseta";3;
perspektiivitu;GPT-4o;tulevikuväljavaadeteta, edasise arengu või eduvõimalusteta, lootusetu või sihitu olukord või seisund;2;deff on substantiivi oma
pesto;EuroLLM-9b-instruct;Pesto on Itaalia päritolu maitseaine, mis põhineb basiilikulehedel, küüslaugul, oliiviõli, pinoleemutteritel (kõrvitsaseemned) ja sool. Seda kasutatakse tavaliselt pasta, risotto või teiste roogade maitsestamiseks. Pesto on populaarne kogu maailmas ja seda saab kasutada erinevat tüüpi toitude maitsestamiseks.;2;
pesto;Claude 3.5 Sonnet;basiilikust, küüslaugust, oliiviõlist, parmesani juustust ja männiseemnetest valmistatud pastataoline kaste või määre;3;
pesto;Claude 3.7 Sonnet;basiilikust, küüslaugust, parmesanist, männiseemnetest ja oliiviõlist valmistatud pastataoline kaste, mida kasutatakse pastaroogade maitsestamiseks või leivakattena;2;
pesto;Gemini 2.5 Pro Preview;peamiselt basiilikust, pähklitest v seemnetest, küüslaugust, juustust ja õlist valmistatud paks (hrl roheline) kaste v maitselisand;3;
pesto;GPT-4o;Itaalia päritolu paks kaste, mis valmistatakse tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust, ning mida kasutatakse toitude maitsestamiseks või lisandina pastaroogadele;2;
pesto;o3;Itaaliast pärit paks toorelt kokku hõõrutud basiiliku, küüslaugu, pähklite, oliiviõli ja kõva juustu baasil valmistatud maitse- ehk ürdikaste;2;
summaarne;Claude 3 Opus;kogusummat, üldkogust, tervikut hõlmav või väljendav, kokkuvõtlik, summariseeriv;2;
transport;Claude 3.5 Sonnet;inimeste, kaupade või muu vedu ühest kohast teise erinevate liiklusvahendite abil;3;
transport;Claude 3.7 Sonnet;inimeste, kaupade, materjalide vm liikumine või vedamine ühest kohast teise, kasutades selleks erinevaid liiklusvahendeid või -viise;2;
transport;Gemini 1.5 Pro;ÜSi definitsioon - inimeste, kaupade või muu sellise ühest kohast teise viimine või toimetamine.;3;ÜSi deff?
transport;GPT-4.1;inimeste, kaupade või esemete ühest kohast teise viimine või vedamine;4;
transport;o4-mini;inimeste, kaupade või esemete ühest paigast teise liigutamine või selleks kasutatav vahend;3;
transs;EuroLLM-9b-instruct;Transs on seisund, kus inimene on piiratud teadvusega või täielikult teadvuse kaotanud. See võib olla põhjustatud mitmetest teguritest, nagu näiteks unetus, vaimne häire või muud põhjused. Kui inimesel on transis, ei pruugi ta reageerida välistele stiimulitele ja tema tegevus on piiratud. Transs on erinev seisund võrreldes tavalise une või teadvusekaotusega.;2;
transs;Claude 3 Opus;hüpnoosiga sarnanev seisund, milles inimene on oma ümbruse suhtes tundetum ja allub kergemini sisendusele;3;
akne;Claude 3.5 Sonnet;noorukieas nahale, eriti näole tekkiv põletikuline haigusseisund, mis avaldub punaste muhukeste ja vistrike näol;3;
akne;Claude 3.7 Sonnet;naha rasunäärmete põletikuline haigus, mis avaldub näol, rinnal või seljal esinevate vistrike või punnilistena;3;
akne;Gemini 2.5 Pro Preview;vistrikke tekitav rasunäärmete põletikuline nahahaigus;3;
akne;o3;rasunäärmete põletikust tingitud mädapunne tekitav krooniline nahalööve, mis esineb peamiselt näol, seljal ja rinnal;3;
aktiivsüsi;Claude 3.5 Sonnet;suure poorsusega süsinikurikas aine, mida kasutatakse mürgiste või kahjulike ainete filtreerimiseks ja sidumiseks;3;
aktiivsüsi;Claude 3.7 Sonnet;poorne süsinikurikas materjal, mida kasutatakse mürgiste ainete või ebameeldivate lõhnade imamiseks, filtreerimiseks või puhastamiseks;3;
aktiivsüsi;Claude 3 Opus;poorne süsinikurikas aine, mida kasutatakse nt vee ja õhu puhastamiseks, mürgistuste ravis, seedehäirete korral jm tänu tema suurele imamisvõimele;2;
aktiivsüsi;Gemini 2.5 Pro Preview;suure adsorbeerimisvõimega poorne süsi;2;
aktiivsüsi;GPT-4o;poorne süsinikmaterjal, millel on suur pindala ja mida kasutatakse adsorbendina gaaside, vedelike või lahustunud ainete eemaldamiseks või puhastamiseks;2;
aktsent;Llama-4-Maverick-17B-128E-Instruct;"sõna või lause heli eriliselt rõhutatud või tugevalt esiletõstetav hääldamine; rõhk; teatud murdele või võõrkeele häälduskujule iseloomulik hääldusviis või selle avaldumine kõnes";3;
aktsent;Claude 3.5 Sonnet;"võõrapärane hääldusviis või kõnemaneer, mis tuleneb emakeele või muu keele mõjust; rõhk või pearõhk kõnes, muusikas või kunstis";2;
aktsent;Claude 3 Opus;kõnes esinev hääldusviis, mis on omane teisest piirkonnast või riigist pärit isikule ja erineb kirjakeele normist;2;
aktsent;Gmeini 2.0 Flash;hääldusviis, mis on omane mingile keelelisele või geograafilisele piirkonnale, sotsiaalsele grupile või isikule ja mis erineb mingist standardsest hääldusest.;2;
aktsent;Gemini 2.5 Pro Preview;võõrkeele v murde mõjuline hääldusviis;3;
debatt;EuroLLM-9b-instruct;Debatt on avalik arutelu või vaidlus, mille eesmärk on kaaluda erinevaid seisukohti ja argumente mõne küsimuse või probleemi kohta. Osalejad võivad esitada oma arvamusi ja väiteid ning neid kaitsta, kasutades fakte, statistikat, näiteid ja muid tõendeid. Debatit juhib tavaliselt moderaator, kes korraldab arutelu ja tagab selle reeglitele vastavuse. Debatt võib toimuda kas kirjalikult või suuliselt, näiteks ülekandena või otseülekandena. Debati eesmärk on tavaliselt saavutada üksmeel või otsus, kuid see võib olla ka meelelahutuslik eesmärk.;2;
debatt;Llama-4-Maverick-17B-128E-Instruct;avalik vaidlus või arutelu, kus osapooled esitavad oma seisukohti ja argumente mõne küsimuse või probleemi kohta, sageli avalikus või ametlikus keskkonnas;3;
debatt;Claude 3.5 Sonnet;avalik arutelu või vaidlus kindlal teemal, kus eri seisukohti esindavad pooled esitavad oma argumente ja vastuargumente;3;
debatt;Gemini 1.5 Pro;avalik arutelu mingil kindlal teemal, kus osalejad esitavad oma seisukohti ja argumente, sageli eesmärgiga jõuda ühisele lahendusele või veenda publikut.;3;
debatt;Gemini 2.5 Pro Preview;avalik v korraldatud vaidlus, arutelu;3;
deegu;Llama-4-Maverick-17B-128E-Instruct;Lõuna-Ameerikast pärit näriline, kes sarnaneb välimuselt hiire või oravaga, ning on populaarne lemmikloom oma sotsiaalse ja uudishimuliku loomuse tõttu;2;
deegu;Claude 3.5 Sonnet;Lõuna-Ameerika päritolu väike näriline, kes on kasvult hamstri ja merisea vahepealne, hallikas-pruuni karvaga ning pika koheva sabaga lemmikloom;2;
deegu;Claude 3.7 Sonnet;Tšiilist pärit väike näriline, kes on hallikas-pruunikat värvi, pika saba ja suurte kõrvadega ning keda peetakse lemmikloomana;2;
deegu;Claude 3 Opus;väike Lõuna-Ameerika näriline, keda peetakse lemmikloomana;3;
deegu;Gemini 1.5 Pro;Tšiili päritolu väike näriline, keda peetakse ka lemmikloomana.;3;
defekt;Gemini 2.5 Pro Preview;"viga, rike vm puudus; ebatäiuslikkus";2;
defekt;o3;ettenähtud või normaalsetest omadustest kõrvalekalduv puudus, viga või kahjustus, mis vähendab eseme, organismi, seadme vms terviklikkust, välimust või toimimist;2;
filosofeerima;GPT-4o;sügavamõtteliselt arutlema, mõtisklema elu, maailma või abstraktsete teemade üle, sageli teoreetilises või spekulatiivses võtmes;3;
filosofeerima;GPT-4.1;filosoofilisi mõtteid arendama või arutlema, abstraktseid ja üldisi küsimusi mõtisklevalt käsitlema;2;ei kasutaks samatüvelist sõna defineerides
filosofeerima;o4-mini;mõtlikult või teoreetiliselt arutlema elu, maailma, teadmiste ja väärtuste olemuslike küsimuste üle;3;
filosofeerima;o3;abstraktselt ja teoreetiliselt arutlema ning mõtisklema eluküsimuste, maailma olemuse jms üle;3;
huligaan;Claude 3.5 Sonnet;avalikus kohas teisi häiriv ja korda rikkuv isik, kes käitub vägivaldselt või ebaviisakalt ning eirab ühiskondlikke norme;3;
huligaan;o4-mini;avalikus kohas lärmi, vägivalda või korratust tekitav isik;3;
huligaan;o3;avalikus kohas üldtunnustatud käitumisnorme rikkuv ja lärmi, vandaalitsemist või vägivalda põhjustav korrarikkuja;3;
kasutajaskond;Claude 3.7 Sonnet;mingi toote, teenuse, süsteemi vms kasutajate kogum või rühm;4;
kasutajaskond;Gemini 1.5 Pro;mingi teenuse, toote või süsteemi kasutajate kogum;3;"kuna siit puudu ""vms"" vms, siis 3, sest selle lisaks. ma ei jätaks piiratud valikut asju, mille kasutajate kogumiga tegu võib olla"
kasutajaskond;Gemini 2.5 Pro Preview;mingi toote, teenuse, süsteemi vm kõigi kasutajate kogum, hulk;3;
kasutajaskond;o4-mini;mingi teenuse, toote või süsteemi kasutajatest koosnev kogum;3;
peoloom;Llama-4-Maverick-17B-128E-Instruct;seltskondlikult aktiivne, pidudel teiste lõbustamiseks nalja ja lõbu pärast erinevaid tegevusi tegev inimene;2;mu arust ei pea peoloom teisi lõbustama, seepärast valisin, et suurte muudatustega, sest seletus täiesti mööda ka pole
peoloom;Claude 3.5 Sonnet;pidutsemist ja seltskondlikku meelelahutust armastav, pidudel sageli käiv ja seal aktiivne inimene;4;
peoloom;Claude 3.7 Sonnet;inimene, kes armastab pidutseda, on seltskonnas aktiivne, lõbus ja energiline, sageli pidude keskpunkt;3;"muidu paneks 4, ent asendaksin sõna ""keskpunkt"" või sõnastaks sama sõna kasutades teisiti, prg mu jaoks lõppeb kuidagi järsult"
peoloom;Gmeini 2.0 Flash;inimene, kes naudib väga pidudel käimist ja on seal alati aktiivne ning lõbus;3;muidu paneks 4, ent midagi natuke jääb nagu vajaka, praegune on pigem selline keeleõppija Sõnaveebi lühike seletus vist?
peoloom;GPT-4.1;inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda;4;okei, eelnevates on asi lõbususe mainimises, see tundub mu jaoks üleliigne. siin seda pole, siis kohe täispunktid
peoloom;o4-mini;seltskonnas meeleolu loov ja tähelepanu keskmes olev inimene;2;siit mitu olulist aspekti välja jäänud
pesakond;Gemini 1.5 Pro;ÜSi definitsioon - üheaegselt, tavaliselt ühest loomast sündinud poegade rühm;2;"""ÜSi definitsioon"" on täiesti üleliigne ja kui ma peaks kopeerima siit Ekilexi, siis segaks, et see ees on. hindeks ei saa 3 panna, sest mumst suht suur muudatus see ära kustutada"
pesakond;Gmeini 2.0 Flash;ühekorraga ilmale toodud loomapojad (enamasti imetajatel ja lindudel);3;"""ilmale toodud"" jätab mulje keisrilõikest vms, et ise ei sünnita"
pesakond;GPT-4.1;ühest pesast pärit loomapojad, kes on sündinud või koorunud samal ajal;4;
